Invoice,Invoice Number*,Supplier Name,Supplier Number,Status,Invoice Date*,Submit For Approval?,Handling Amount,Misc Amount,Shipping Amount,Line Level Taxation*,Tax Amount,Tax Rate,Tax Code,Tax Rate Type,Supplier Note,Payment Terms,Shipping Terms,Requester Email,Requester Name,Requester Lookup Name,Chart of Accounts*,Currency,Contract Number,Image Scan Filename,Image Scan URL,Local Currency Net,Taxes In Origin Country Currency,Local Currency Gross,Delivery Number,Delivery Date,Margin Scheme,Invoice Issuance Time,Cash Register Operator,Means Of Payment,Unique Identification Code Of Cash Receipt,Security Code Of Issuer,Cash Accounting Scheme Reference,Exchange Rate,Gross Total,Invoice Control Total,Late Payment Penalties,Credit Reason,Early Payment Provisions,Pre-Payment Date,Self Billing Reference,Discount Amount,Reverse Charge Reference,Discount %,Credit Note differences with Original Invoice,Original Value of Supply,Correct Value of Supply,Customs Declaration Number,Customs Office,Customs Declaration Date,Payment Order Reference,Payment Order Number,Resolution Number,Amount of advance payment received,Type of Relationship,Invoice Reference Number (IRN),Series,Folio Number,Buyer Representative Name,Supplier Representative Name,Payment Schedule Terms,Transaction UUID,Transaction Notification Date,VAT Chargeability System,Ship To Name,Ship To Id,Ship To Attention,Ship To Street1,Ship To Street2,Ship To City,Ship To State,Ship To Postal Code,Ship to Country Code,Ship to Country Name,Ship to Location Code,Ship to VAT ID,Ship to Local Tax Number,Bill To Address Id,Bill To Address Legal Entity Name,Bill To Address Street,Bill To Address City,Bill To Address Postal Code,Bill To Address Country Code,Bill To Address Location Code,Bill To Address VAT ID,Bill To Address Local Tax Number,Override Tax Country Code,Remit To Address Street1,Remit To Address Street2,Remit To Address City,Remit To Address State,Remit To Address Postal Code,Remit To Address Country Code,Remit To Code,Remit To Tax Prefix,Remit To Tax Number,Remit To Tax Country Code,Remit To VAT ID,Remit To Local Tax Number,Invoice From Address Street1,Invoice From Address Street2,Invoice From Address City,Invoice From Address State,Invoice From Address Postal Code,Invoice From Address Country Code,Invoice From Code,Ship From Address Street1,Ship From Address Street2,Ship From Address City,Ship From Address State,Ship From Address Postal Code,Ship From Address Country Code,Ship From Code,Original invoice number,Original invoice date,Is Credit Note,Disputed Invoice Number,Dispute Resolution Credit Note Number,Supplier Tax Number,Buyer Tax Number,Date of Discovery of Facts Decisive for Correction,Place Of Supply,Split Payment Mechanism,Endorsement On Invoices,New Means Of Transport,Place Of Issuance,Amount Of Advance Payment,Supplier Invoice Issuer Name,Supplier Invoice Reviewer Name,Supplier Payment Collector Name,Signed QR Code,State Tax ID Number,State Tax ID Number for Substitute Taxpayer,Municipality Tax ID Number,Serial Code of Fiscal Invoice,Verification Code,Type of Document,Protocol Number,Nature of Operation,Type of Operation,Freight Type,Vehicle License Plate,National Enrollment of Conveyor,Volume Amount,Volume Gross Weight,Volume Liquid Weight,Volume Brand,Volume Type,Volume Numbering,Payment Agreement Notes,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Attachment 6,Attachment 7,Attachment 8,Attachment 9,Attachment 10,Ship To Street3,Ship To Street4,Remit To Address Street3,Remit To Address Street4,Invoice From Address Street3,Invoice From Address Street4,Ship From Address Street3,Ship From Address Street4,Invoice Group,Batch ID,Posting Date,Comments to Supplier
Invoice Line,Invoice Number*,Supplier Name,Supplier Number,Line Number,Description*,Supplier Part Number,Auxiliary Part Number,Price*,Quantity,Bulk Price,Bulk Price Qty,Bulk Price UOM,Bulk Price Conversion Numerator,Bulk Price Conversion Denominator,Unit of Measure*,Category,Subcategory,Deductibility,PO Number,PO Line Number,Account Name,Account Code,Billing Notes,Account Segment 1,Account Segment 2,Account Segment 3,Account Segment 4,Account Segment 5,Account Segment 6,Account Segment 7,Account Segment 8,Account Segment 9,Account Segment 10,Account Segment 11,Account Segment 12,Account Segment 13,Account Segment 14,Account Segment 15,Account Segment 16,Account Segment 17,Account Segment 18,Account Segment 19,Account Segment 20,Budget Period Name,Net Weight,Weight UOM,Price per Weight,Match Reference,Delivery Note Number,Original Date Of Supply,Commodity Name,HSN/SAC,UNSPSC,Adjustment Type,Fiscal Code,Classification of Goods,Municipality Taxation Code,Item Barcode,Line Tax Amount,Line Tax Rate,Line Tax Code,Line Tax Rate Type,Exempt from Tax?,Reverse Charge?,Out of Scope?,Line Tax Location,Line Tax Description,Line Tax Supply Date,Line Nature of Tax,Line Product Tax Classification,Customer Accounting?,Exclude from tax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Invoice,64823598,"ASHLEY FURNITURE IND, INC (54612-0000)",RAC-285431,,04/21/2025,Yes,,,43.35,no,,,,,,,,,,,Chart of Accounts,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223680,,
Invoice Line,64823598,"ASHLEY FURNITURE IND, INC (54612-0000)",RAC-285431,1,Ashley PO# 10815082 Item# B106-56        ,,,16.39,,,,,,,EA,,,,,,,,,3,02601,662050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Invoice,64823599,"ASHLEY FURNITURE IND, INC (54612-0000)",RAC-285431,,04/21/2025,Yes,,,,no,,,,,,,,,,,Chart of Accounts,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223687,,
Invoice Line,64823599,"ASHLEY FURNITURE IND, INC (54612-0000)",RAC-285431,1,Ashley PO# 10815116 Item# B106-56        ,,,7.5,,,,,,,EA,,,,,,,,,3,02601,662050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Invoice,65838089,"ASHLEY FURNITURE IND, INC (54612-0000)",RAC-285431,,06/05/2025,Yes,,,60.1,no,,,,,,,,,,,Chart of Accounts,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223680,,
Invoice Line,65838089,"ASHLEY FURNITURE IND, INC (54612-0000)",RAC-285431,1,Ashley PO# 10690860 Item# 5120538        ,,,35.64,,,,,,,EA,,,,,,,,,6,00107,662050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Invoice,66330197,"ASHLEY FURNITURE IND, INC (54612-0000)",RAC-285431,,06/30/2025,Yes,,,43.98,no,,,,,,,,,,,Chart of Accounts,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223674,,
Invoice Line,66330197,"ASHLEY FURNITURE IND, INC (54612-0000)",RAC-285431,1,Ashley PO# 10980734 Item# W2615-68       ,,,7.51,,,,,,,EA,,,,,,,,,3,02601,662050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Invoice,66474400,"ASHLEY FURNITURE IND, INC (54612-0000)",RAC-285431,,07/07/2025,Yes,,,,no,,,,,,,,,,,Chart of Accounts,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223680,,
